Time,Fri 7/21,Sat 7/22,Sun 7/23,Mon 7/24
6:00 AM,ROAD TRIP CREW TO LA,///////////////////////////////////,///////////////////////////////////,///////////////////////////////////
,///////////////////////////////////,///////////////////////////////////,///////////////////////////////////,///////////////////////////////////
,///////////////////////////////////,///////////////////////////////////,///////////////////////////////////,///////////////////////////////////
7:00 AM,///////////////////////////////////,///////////////////////////////////,///////////////////////////////////,///////////////////////////////////
,///////////////////////////////////,///////////////////////////////////,///////////////////////////////////,///////////////////////////////////
,///////////////////////////////////,///////////////////////////////////,///////////////////////////////////,///////////////////////////////////
8:00 AM,///////////////////////////////////,///////////////////////////////////,///////////////////////////////////,///////////////////////////////////
,///////////////////////////////////,///////////////////////////////////,///////////////////////////////////,///////////////////////////////////
,///////////////////////////////////,///////////////////////////////////,///////////////////////////////////,///////////////////////////////////
9:00 AM,///////////////////////////////////,,,breakfast somewhere
,///////////////////////////////////,,,
,///////////////////////////////////,,,
10:00 AM,///////////////////////////////////,DRIVE TO ONTARIO (50min),*Egg Slut,
,///////////////////////////////////,,Grand Central Market,
,///////////////////////////////////,,,
11:00 AM,///////////////////////////////////,*Baker's Drive-Thru,*Bottega Louie,
,///////////////////////////////////,The Hat,,
,///////////////////////////////////,Senor Baja,,
12:00 PM,ROAD TRIP CREW ARRIVAL,DRIVE TO PHM (25-30min),Sugarfish,Hotel Check-out
,*Shake Shack,,Uncle John's Cafe,///////////////////////////////////
,Porto's Bakery,,Fatburger,///////////////////////////////////
1:00 PM,*Bia Coffee,PHM Round 1,Midori Matcha Cafe,///////////////////////////////////
,Golden Pouch,Tancca,Cafe Dulce,///////////////////////////////////
,*Honeymee,Class 302,,///////////////////////////////////
2:00 PM,Drips and Swirls,Honeymee,Seoul Sausage Co.,///////////////////////////////////
,,,,///////////////////////////////////
,,,,///////////////////////////////////
3:00 PM,Hotel Check-in,LEAVE TO 626 NM (25-30min),Guisados,///////////////////////////////////
,FLIGHT CREW ARRIVAL,,The Springs,///////////////////////////////////
,Meet up at hotel,,,///////////////////////////////////
4:00 PM,Sumo Dog,*626 Night Market,,///////////////////////////////////
,School Food,,,///////////////////////////////////
,,,,///////////////////////////////////
5:00 PM,Quarters KBBQ,,Venice Beach,///////////////////////////////////
,Yup Dduk LA,,Blue Star Donuts,///////////////////////////////////
,Mr. Pizza,,Blockheads Shavery,///////////////////////////////////
6:00 PM,Pasta Sisters,,,///////////////////////////////////
,,,,///////////////////////////////////
,,,,///////////////////////////////////
7:00 PM,Choice Music LA,PHM Round 1,,///////////////////////////////////
,,purikura,,///////////////////////////////////
,,,,///////////////////////////////////
8:00 PM,,,Ave 26 Tacos,///////////////////////////////////
,,,,///////////////////////////////////
,,,,///////////////////////////////////
9:00 PM,*SOMI SOMI,,,///////////////////////////////////
,Sul & Beans,,,///////////////////////////////////
,,,,///////////////////////////////////
10:00 PM,,,,///////////////////////////////////
,,,,///////////////////////////////////
,,,,///////////////////////////////////
11:00 PM,,,,///////////////////////////////////
,,,,///////////////////////////////////
,,,,///////////////////////////////////
12:00 AM,Quarters KBBQ (if necessary),,,///////////////////////////////////
,,,,///////////////////////////////////
,,,,///////////////////////////////////
1:00 AM,,,,///////////////////////////////////
,,,,///////////////////////////////////
,,,,///////////////////////////////////
2:00 AM,,,,///////////////////////////////////
,,,,///////////////////////////////////
,,,,///////////////////////////////////
